# Required | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Required | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Required | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Required | The current availability of the item. | Supported values: in stock; out of stock,# Required | The current condition of the item. | Supported values: new; used,# Required | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Required | The URL of the specific product page where people can buy the item.,# Required | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Required | The brand name of the item. Character limit: 100.,# Optional | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Optional | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Optional | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Optional | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Optional | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Optional | The gender of a person that the item is targeted towards. | Supported values: female; male; unisex,# Optional | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Optional | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Optional | The age group that the item is targeted towards. | Supported values: adult; all ages; infant; kids; newborn; teen; toddler,# Optional | The material the item is made from; such as cotton; denim or leather. Character limit: 200.,# Optional | The pattern or graphic print on the item. Character limit: 100.,"# Optional | Shipping details for the item. Format as Country:Region:Service:Price. Include the 3-letter ISO 4217 currency code in the price. Enter the price as 0.0 to use the free shipping overlay in your ads. Use a semi-colon ';' or a comma "";"" to separate multiple shipping details for different regions or countries. Only people in the specified region or country will see shipping details for that region or country. You can leave out the region (keep the double '::') if your shipping details are the same for an entire country.",# Optional | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,"# Optional | Legal disclaimer text for product offers. This text provides important legal or regulatory information that must be displayed with the product offer. For example: ""Valid while supplies last. Terms and conditions apply.""","# Optional | URL linking to the full disclaimer text. This provides a link to a page containing the complete disclaimer information for the product offer. For example: ""https://example.com/terms-and-conditions""",# Optional | The URL for a video of your product. Link should be a videos file on a file hosting website; not a video player. Videos must be in a supported format (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob or .wmv).,# Optional | The item’s Global Trade Item Number (GTIN). Recommended to help classify the item. May appear on the barcode; packaging or book cover. Only provide GTIN if you’re sure it’s correct. GTIN types include UPC (12 digits); EAN (13 digits); JAN (8 or 13 digits); ISBN (13 digits) or ITF-14 (14 digits),# Optional | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Optional | Describe the fashion style of this item.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,offer_disclaimer,offer_disclaimer_url,video[0].tag[0],gtin,product_tags[1],style[0]
665_142,"Discover the unparalleled beauty of this 0.84-carat Fancy Yellow masterpiece, meticulously set in 18k. Each facet tells a story of nature's extraordinary artistry, cut to perfection by master artisans. This earring represents the ultimate expression of luxury — a rare treasure that transcends time and trends, destined to become a cherished heirloom for generations.","Exquisite Earring featuring a 0.84 carat Fancy Yellow (VS1), set in luxurious 18k. a masterpiece of natural beauty and human artistry — a true masterpiece for the most discerning connoisseur.",in stock,new,1218655.89 JPY,https://colourdiam.com/productdetail/Menu/665/142,https://www.colourdiam.com/Product/Jewellery/665_142/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
298,"Discover the unparalleled beauty of this 2.01-carat Fancy Intense Yellow masterpiece, meticulously set in 18K. Each facet tells a story of nature's extraordinary artistry, cut to perfection by master artisans. This ring represents the ultimate expression of luxury — a rare treasure that transcends time and trends, destined to become a cherished heirloom for generations.","Brilliant Ring featuring a 2.01 carat Fancy Intense Yellow (I1), set in luxurious 18K. an heirloom-quality treasure for discerning collectors — a true masterpiece for the most discerning connoisseur.",in stock,new,3665130.50 JPY,https://colourdiam.com/productdetail/298,https://www.colourdiam.com/Product/Jewellery/298/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
414,"Discover the unparalleled beauty of this -carat Fancy Pink masterpiece, meticulously set in 18K. Each facet tells a story of nature's extraordinary artistry, cut to perfection by master artisans. This ring represents the ultimate expression of luxury — a rare treasure that transcends time and trends, destined to become a cherished heirloom for generations.","Radiant Ring featuring a  carat Fancy Pink (SI1), set in luxurious 18K. an extraordinary expression of refined elegance — a true masterpiece for the most discerning connoisseur.",in stock,new,1007910.89 JPY,https://colourdiam.com/productdetail/414,https://www.colourdiam.com/Product/Jewellery/414/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
415,"Indulge in the delicate allure of a natural pink diamond. This masterfully crafted 18k Platinum ring showcases a 0.175 Carat Fancy Pink diamond of SI1 clarity. To maximize its presence and light performance, it is framed by a generous halo and split-shank setting featuring 50 brilliant-cut white diamonds totaling 0.81 carats. A magnificent choice for a romantic proposal or a standout collector's piece.","Elegant 18k Platinum ring featuring a 0.175 ct Fancy Pink SI1 diamond center, surrounded by 50 round white diamonds (0.81 cts) for a stunning, high-brilliance look.",in stock,new,1007910.89 JPY,https://colourdiam.com/productdetail/415,https://www.colourdiam.com/Product/Jewellery/415/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
416,"Elegance lies in the details. This heavy 18k Platinum band (7.805g) centers a beautifully bright 0.272 Carat Very Light Pink Diamond with clean SI1 clarity. Designed for those who prefer an understated yet incredibly rare look, the pastel pink centerpiece is flanked by 22 pristine white diamonds totaling 0.32 carats. A sleek, contemporary approach to high-end diamond jewelry.","Sophisticated 18k Platinum ring showcasing a 0.272 ct Very Light Pink SI1 diamond, beautifully minimalist with 22 white diamond accents (0.32 cts).",in stock,new,1007910.89 JPY,https://colourdiam.com/productdetail/416,https://www.colourdiam.com/Product/Jewellery/416/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,NON CERTIFIED,Fine Jewelry
461,"A symphony of light and intense golden color. This majestic 18k gold masterpiece holds a 1.26 Carat GIA-Certified Fancy Intense Yellow Diamond (SI1 clarity). The striking central cushion-like glow is enhanced by a tiered mosaic of luxury accents: 30 yellow diamonds (0.223 cts) to boost the golden tone, 68 white diamonds (0.259 cts) for crisp fire, and 8 brilliant pear-cut diamonds (0.30 cts) providing a crown-like architectural border. An absolute showstopper.","Breathtaking 18k gold cocktail ring centering a GIA-certified 1.26 ct Fancy Intense Yellow SI1 diamond, intricately surrounded by mixed white, yellow, and pear-cut accent diamonds.",in stock,new,1924193.51 JPY,,https://www.colourdiam.com/Product/Jewellery/461/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
633,"Step into an elite tier of collecting with one of nature’s rarest wonders: a natural green diamond. Certified by AGL, this 18k gold ring features an impressive 1.62 Carat Fancy Green Diamond (SI clarity). To honor its exceptionally rare earthy tone, the center stone is nestled in a rich double-halo configuration composed of 44 vibrant yellow diamonds (0.20 cts) and 67 fiery white diamonds (0.532 cts). A dramatic, mesmerizing ring designed for the true connoisseur.","Exceptionally rare 18k gold ring centering an AGL-certified 1.62 ct Fancy Green SI diamond, complemented by a dual border of 67 white and 44 yellow diamonds.",in stock,new,824654.36 JPY,,https://www.colourdiam.com/Product/Jewellery/633/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,AGL,Fine Jewelry
731,"A study in rare color harmony, this 18k gold ring showcases a 0.83 ct Fancy Light Green diamond with VS1 clarity, accompanied by GIA certificate 2173315579. The center diamond’s subtle green tone is highlighted by 62 pink diamonds totaling 0.328 ct and 44 white diamonds totaling 0.058 ct. Together, these accents create a graceful dialogue between pastel warmth, crisp brilliance and the distinctive green centerpiece.

The 4.347-gram setting gives the main diamond visual prominence while allowing the surrounding stones to enrich its color without overwhelming it. The unusual combination of green, pink and white diamonds gives the ring strong collector appeal and makes it especially suited to those who value individuality over convention.

Elegant, uncommon and beautifully balanced, STK 731 reflects Colour Diam’s focus on fancy color diamonds and thoughtfully composed jewelry.","An elegant 18k gold ring centered with a 0.83 ct Fancy Light Green VS1 diamond. The rare green hue is framed by 44 white diamonds totaling 0.058 ct and 62 pink diamonds totaling 0.328 ct, creating a refined contrast of cool brilliance and soft color. Weighing 4.347 grams, this GIA-certified piece balances delicacy with distinctive character. Its layered color palette makes it an exceptional choice for collectors and clients seeking a sophisticated fancy color diamond ring with an unmistakably individual presence.",in stock,new,2657219.61 JPY,https://colourdiam.com/productdetail/731,https://www.colourdiam.com/Product/Jewellery/731/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1003,"Warm, luminous and confidently elegant, STK 1003 presents a 1.05 ct Fancy Yellow diamond with SI1 clarity, accompanied by GIA certificate 6204245426. The center stone is set in an 18k gold ring weighing 4.07 grams and enhanced by 40 white diamonds totaling 0.26 ct.

The white diamond accents create a crisp frame around the yellow centerpiece, emphasizing its color and adding movement through reflected light. The result is a versatile fancy color diamond ring that can be appreciated as a statement piece, an unconventional engagement ring or an addition to a curated jewelry collection.

Its GIA documentation records the center diamond’s stated characteristics, while the balanced setting gives the piece enduring elegance.","A refined 18k gold ring featuring a 1.05 ct Fancy Yellow SI1 diamond, certified by GIA. Forty white diamonds totaling 0.26 ct surround the center stone, adding crisp brilliance while preserving the warm yellow color as the focal point. The 4.07-gram setting offers an elegant balance between presence and wearability. Designed for clients who appreciate distinctive color with a classic silhouette, this ring combines documented diamond specifications, graceful craftsmanship and timeless appeal in a sophisticated Colour Diam jewel.",in stock,new,2840476.14 JPY,,https://www.colourdiam.com/Product/Jewellery/1003/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
1135,"STK 1135 is a richly composed fancy color diamond ring designed around a 1.02 ct Fancy Intense Yellow center diamond, accompanied by GIA certificate 7141644489. Crafted in 18k gold and weighing 5.55 grams, the ring brings together several diamond shapes and colors to create depth and architectural character.

Eight pear-shaped diamonds totaling 0.485 ct provide a sculptural frame. Fifty yellow diamonds totaling 0.247 ct reinforce the center stone’s golden tone, while 21 white diamonds totaling 0.237 ct introduce bright contrast.

The combination of a certified center diamond, substantial accent weight and detailed composition gives this ring notable collector and statement-jewelry appeal.","A dramatic 18k gold ring centered with a 1.02 ct Fancy Intense Yellow diamond and accompanied by GIA certificate 7141644489. Eight pear-shaped diamonds totaling 0.485 ct form an expressive accent, while 50 yellow diamonds totaling 0.247 ct and 21 white diamonds totaling 0.237 ct enrich the design with layered color and brilliance. Weighing 5.55 grams, this statement ring combines vivid yellow color with intricate craftsmanship and a strong visual presence.",in stock,new,916282.63 JPY,https://colourdiam.com/productdetail/1135,https://www.colourdiam.com/Product/Jewellery/1135/white45/center.jpg,ColourDiam,Apparel & Accessories > Jewelry,,1,,,,unisex,,,adult,,,,,,,,,GIA,Fine Jewelry
